"agency_id","agency_name","agency_url","agency_timezone","agency_email","agency_branding_url"
"6714","Jyväskylän Liikenne Oy","http://www.jyvaskylanliikenne.fi","Europe/Helsinki","",""
"6743","Koivuranta Oy","http://www.koivuranta.fi","Europe/Helsinki","",""
"6949","Uuraisten Liikenne Ky","http://www.uuraistenliikenne.fi","Europe/Helsinki","",""
"6902","Savo-Karjalan Linja Oy","http://www.savokarjalanlinja.fi/","Europe/Helsinki","",""
"6791","Linja-Karjala Oy","http://savonlinja-yhtiot.fi/","Europe/Helsinki","",""
"47258","Oulun taksipalvelut Oy","http://otptravel.fi/","Europe/Helsinki","",""
"48315","Oubus Oy","http://www.oubus.fi/","Europe/Helsinki","",""
"6915","Suorsan Liikenne Ky","http://suorsanliikenne.fi/","Europe/Helsinki","",""
"6750","Koskilinjat Oy","http://www.koskilinjat.fi/","Europe/Helsinki","",""
"6852","Oy Pohjolan liikenne Ab","http://www.pohjolanliikenne.fi","Europe/Helsinki","",""
"44517","Kuopion Liikenne Oy","http://www.kuopionliikenne.fi/","Europe/Helsinki","",""
"6677","Autolinjat Oy","http://www.savonlinjat.fi/","Europe/Helsinki","",""
"46231","ML-Charter Oy","http://www.mattilanliikenne.fi/","Europe/Helsinki","",""
"7399","Etelä-Suomen Linjaliikenne Oy","http://www.savonlinjat.fi","Europe/Helsinki","",""
"6804","Linjaliikenne Martti Laurila Oy","http://marttilaurila.com/","Europe/Helsinki","",""
"44303","Kari Väisänen Ky","http://www.autoyhtiotkvaisanen.fi/","Europe/Helsinki","",""
"46075","Matkatoimisto Matka-Majuri Ky","http://matka-majuri.fi/","Europe/Helsinki","",""
"6783","Linja-autoliikenne P. Puolakka Ky","http://www.puolakka.com/","Europe/Helsinki","",""
"7192","Elimäen Liikenne Oy","http://www.elimaenliikenne.fi/","Europe/Helsinki","",""
"7327","Anjalankosken Linja Oy","http://anjalankoskenlinja.fi/","Europe/Helsinki","",""
"6903","Savonlinja Oy","http://www.savonlinjat.fi/","Europe/Helsinki","",""
"52126","Liikenne M. Heikura Oy","http://www.google.fi","Europe/Helsinki","",""
"6717","Jääskeläisen Auto Oy","http://www.jaaskelaisenauto.fi/","Europe/Helsinki","",""
"9999","Kilpailutus käynnissä","http://www.hankintailmoitukset.fi/","Europe/Helsinki","",""
"54836","TILAUSAJOT MENNÄÄN BUSSILLA OY","http://www.mennaanbussilla.fi/","Europe/Helsinki","",""
"46673","Revon Turistiliikenne Oy","http://www.revonturistiliikenne.fi/","Europe/Helsinki","",""
"57001","Matkamestarit Oy","http://www.matkamestarit.fi/","Europe/Helsinki","",""
"8888","R-Kioski","http://www.r-kioski.fi/","Europe/Helsinki","",""
"7172","A. Valppu Oy","http://www.valppu.fi/","Europe/Helsinki","",""
"30174","Invataksi Niemi Oy","http://www.invataksiniemi.fi","Europe/Helsinki","",""
"58309","Oy Wiik & Ström Ab","http://www.wiik-strom.fi","Europe/Helsinki","",""
"6847","Oravaisten Liikenne Oy","http://www.oravaistenliikenne.fi","Europe/Helsinki","",""
"6951","Wasa Citybus","https://www.wasacitybus.fi/","Europe/Helsinki","",""
"6741","Koiviston Auto Oy","http://www.koivistonauto.fi","Europe/Helsinki","",""
"6758","Lehtimäen Liikenne Oy","http://www.lehtimakigroup.fi","Europe/Helsinki","",""
"23098","Järvisen Liikenne Oy","http://jarvisenliikenne.fi/","Europe/Helsinki","",""
"6838","Niemisen Linjat Oy","http://www.niemisenlinjat.fi/","Europe/Helsinki","",""
"7345","Bus Travel Oy Reissu Ruoti","http://www.reissuruoti.fi/","Europe/Helsinki","",""
"7317","Taksi- ja linja-autoliikenne Timo Lahtinen","http://www.matka-lahtinen.fi/","Europe/Helsinki","",""
"7543","SL-Autoyhtymä Oy","http://www.savonlinjat.fi","Europe/Helsinki","",""
"6778","Linja-autoliike E Ahonen Ky","http://www.eahonen.com","Europe/Helsinki","",""
"6757","Lehdon Liikenne Oy","http://www.lehdonliikenne.fi","Europe/Helsinki","",""
"72656","HämeBus Oy","http://www.hamebus.fi/","Europe/Helsinki","",""
"14994","Tuuri Jaakko Juhani","https://www.henkiloliikenne.fi","Europe/Helsinki","",""
"6875","Pekolan Liikenne Oy","http://www.pekolanliikenne.fi/","Europe/Helsinki","",""
"7634","Mikkolan Liikenne Oy","http://testi.mikkolan-liikenne.fi/","Europe/Helsinki","",""
"6957","Vekka Liikenne Oy","http://www.vekkaliikenne.fi/","Europe/Helsinki","",""
"70334","Inter Kuljetus Oy","http://www.interkuljetus.fi/","Europe/Helsinki","",""
"71985","Valkeakosken Liikenne Oy","http://www.valkeakoskenliikenne.fi/","Europe/Helsinki","",""
"99999","Matkahuolto Oy","https://www.matkahuolto.fi/","Europe/Helsinki","",""
"1","ELY","http://www.liikennevirasto.fi","Europe/Helsinki","",""
"6966","Ventoniemi Oy","http://www.ventoniemi.fi/","Europe/Helsinki","",""
"6981","Yhdysliikenne Oy","http://www.pekolanliikenne.fi/","Europe/Helsinki","",""
"35625","MIKA K. NISKANEN OY","http://www.mniskanen.fi/","Europe/Helsinki","",""
"51306","Kantamatkat","http://www.kantamatkat.fi/","Europe/Helsinki","",""
"6790","LINJA-AUTOLIIKE YRJÖ MAKKONEN & KUMPP","http://www.linja-autoliikeymakkonen.fi/","Europe/Helsinki","",""
"7145","SOISALON LIIKENNE OY","http://www.soisalonliikenne.com/","Europe/Helsinki","",""
"7180","Pohjolan Matka","http://www.pohjolanmatka.fi/","Europe/Helsinki","",""
"50347","HENKILÖKULJETUS RISSANEN OY","http://www.henkilokuljetusrissanen.fi/","Europe/Helsinki","",""
"6952","V.Alamäki Oy","http://www.v-alamaki.fi/","Europe/Helsinki","",""
"53033","Kai Heikkinen Oy","http://www.kaiheikkinen.fi/","Europe/Helsinki","",""
"33130","Savo Kainuun Tilausmatkat Ky","https://www.tilausmatkat.info/","Europe/Helsinki","",""
"44757","Kajaanin Tila-autot Oy","http://www.ktaoy.fi/","Europe/Helsinki","",""
"6667","A Kyllönen Oy","http://www.akyllonen.fi/","Europe/Helsinki","",""
"34485","Puolangan Bussipalvelu Ky","https://www.puolanganbussipalvelu.fi/","Europe/Helsinki","",""
"56252","Kainuun Tilausliikenne P. Jääskeläinen Ky","http://www.kainuuntilausliikenne.fi/","Europe/Helsinki","",""
"7306","Matka-Kyllönen Oy","http://personal.inet.fi/yritys/matkakyllonen/","Europe/Helsinki","",""
"46947","Jyrkilä Oy","http://www.jyrkila.com/","Europe/Helsinki","",""
"6773","Liikenne Vuorela Oy","http://www.liikennevuorela.fi/","Europe/Helsinki","",""
