"service_id","date","exception_type"
"18 Parikka","20180607","2"
"18 Parikka","20180609","2"
"18 Parikka","20180614","2"
"18 Parikka","20180616","2"
"18 Parikka","20180621","2"
"18 Parikka","20180623","2"
"18 Parikka","20180628","2"
"18 Parikka","20180630","2"
"18 Parikka","20180705","2"
"18 Parikka","20180707","2"
"18 Parikka","20180712","2"
"18 Parikka","20180714","2"
"18 Parikka","20180719","2"
"18 Parikka","20180721","2"
"18 Parikka","20180726","2"
"18 Parikka","20180728","2"
"18 Parikka","20180802","2"
"18 Parikka","20180804","2"
"18 Parikka","20180809","2"
"18 Parikka","20180811","2"
"18 Parikka","20180816","2"
"18 Parikka","20180818","2"
"18 Parikka","20180823","2"
"18 Parikka","20180825","2"
"18 Parikka","20180830","2"
"18 Parikka","20180901","2"
"18 Parikka","20180906","2"
"18 Parikka","20180908","2"
"18 Parikka","20180913","2"
"18 Parikka","20180915","2"
"18 Parikka","20180920","2"
"18 Parikka","20180922","2"
"18 Parikka","20180927","2"
"18 Parikka","20180929","2"
"18 Parikka","20181004","2"
"18 Parikka","20181006","2"
"18 Parikka","20181011","2"
"18 Parikka","20181013","2"
"18 Parikka","20181018","2"
"18 Parikka","20181020","2"
"18 Parikka","20181025","2"
"18 Parikka","20181027","2"
"18 Parikka","20181101","2"
"18 Parikka","20181108","2"
"18 Parikka","20181110","2"
"18 Parikka","20181115","2"
"18 Parikka","20181117","2"
"18 Parikka","20181122","2"
"18 Parikka","20181124","2"
"18 Parikka","20181125","2"
"18 Parikka","20181129","2"
"18 Parikka","20181201","2"
"18 Parikka","20181202","2"
"18 Parikka","20181206","2"
"18 Parikka","20181208","2"
"18 Parikka","20181209","2"
"18 Parikka","20181213","2"
"18 Parikka","20181215","2"
"18 Parikka","20181216","2"
"18 Parikka","20181220","2"
"18 Parikka","20181222","2"
"18 Parikka","20181223","2"
"18 Parikka","20181227","2"
"18 Parikka","20181229","2"
"18 Parikka","20181230","2"
"18 Parikka","20190103","2"
"18 Parikka","20190105","2"
"18 Parikka","20190106","2"
"18 Parikka","20190110","2"
"18 Parikka","20190112","2"
"18 Parikka","20190113","2"
"18 Parikka","20190117","2"
"18 Parikka","20190119","2"
"18 Parikka","20190120","2"
"18 Parikka","20190124","2"
"18 Parikka","20190126","2"
"18 Parikka","20190127","2"
"18 Parikka","20190131","2"
"18 Parikka","20190202","2"
"18 Parikka","20190203","2"
"18 Parikka","20190207","2"
"18 Parikka","20190209","2"
"18 Parikka","20190210","2"
"18 Parikka","20190214","2"
"18 Parikka","20190216","2"
"18 Parikka","20190217","2"
"18 Parikka","20190221","2"
"18 Parikka","20190223","2"
"18 Parikka","20190224","2"
"18 Parikka","20190228","2"
"18 Parikka","20190302","2"
"18 Parikka","20190303","2"
"18 Parikka","20190307","2"
"18 Parikka","20190309","2"
"18 Parikka","20190310","2"
"18 Parikka","20190314","2"
"18 Parikka","20190316","2"
"18 Parikka","20190317","2"
"18 Parikka","20190321","2"
"18 Parikka","20190323","2"
"18 Parikka","20190324","2"
