"route_id","contract_id","update_permission","contract_type"
"1","5001","0","6"
"2","5002","0","6"
"95","5091","0","6"
"90","5091","0","6"
"96","5092","0","6"
"97","5092","0","6"
"98","5092","0","6"
"99","5092","0","6"
"92","5092","0","6"
"93","5101","0","6"
"94","5093","0","6"
"51","5002","0","6"
"6","5002","0","6"
"7","5002","0","6"
"8","5002","0","6"
"9","5002","0","6"
"91","5002","1","6"
"11","5002","0","6"
"12","5002","0","6"
"13","5002","0","6"
"14","5002","0","6"
"15","5002","0","6"
"18","5002","0","6"
"19","5002","0","6"
"20","5002","0","6"
"25","5002","0","6"
"253","5002","0","6"
"252","5002","0","6"
"27","5002","0","6"
"321","5002","0","6"
"341","5002","0","6"
"371","5002","0","6"
"10","5004","0","6"
"1001","5101","0","6"
"1002","5101","0","6"
"1009","5101","0","6"
"1010","5101","0","6"
"1011","5101","0","6"
"1015","5101","0","6"
"1051","5101","0","6"
"1061","5101","0","6"
"1007","5101","0","6"
"1091","5101","0","6"
"1089","5101","0","6"
"2007","5102","0","6"
"2012","5102","0","6"
"2013","5102","0","6"
"3005","5103","0","6"
"3007","5103","0","6"
"3009","5103","0","6"
"3010","5103","0","6"
"3061","5103","0","6"
"3027","5103","0","6"
"3321","5103","0","6"
"3341","5103","0","6"
"4011","5101","0","6"
"4012","5104","0","6"
"4014","5104","0","6"
"4091","5104","0","6"
"4341","5104","0","6"
"4190","5104","0","6"
"5321","5105","0","6"
"6001","5106","0","6"
"6076","5106","0","6"
"7001","5107","0","6"
"7075","5107","0","6"
"73","5073","0","6"
"74","5074","0","6"
"76","5073","0","6"
"75","5075","0","6"
"77","5076","0","6"
"4010","5104","0","6"
"16","5009","0","4"
"87","5080","0","6"
"88","5080","0","6"
"78","5009","0","4"
"55","5002","0","6"
"4188","5104","0","6"
"100","5200","0","6"
"79","5079","0","6"
"5010","5079","0","6"
"4007","5104","0","6"
"2006","5102","0","6"
"4009","5104","0","6"
"110","5300","0","6"
"1503","5500","0","10"
"1505","5500","0","10"
"29","5500","0","10"
"28","5500","0","10"
"355","5500","0","10"
"357","5500","0","10"
"902","5500","0","10"
