"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","bikes_allowed"
"1","6852","1","1 Kotka-Hamina","","3","","","",""
"10","18580","1Mo","1M Hamina-Kotka","","3","","","","0"
"100","46947","100pi","Hki-Kotka pika","","3","","","","0"
"1001","46947","1Pa","P001 Norskankatu-Hovinsaari-Koskenrinne","","3","","","",""
"1002","46947","2Pa","P002 Norskankatu-Mussalo","","3","","","",""
"1007","46947","7","7 PALI Karhula-Korkeakoski-Koivula","","3","","","",""
"1009","46947","9Pa","P009 Karhula-Tavastila-Juurikorpi","","3","","","",""
"1010","46947","10Pa","P010 Karhula-Tiutinen","","3","","","",""
"1011","46947","11Pa","P011 Norskankatu-Katariina","","3","","","",""
"1015","46947","15Pa","P015 Leikari-Suulisniemi-Karhula-Korkeakoski-Karhuvuori-Kotka","","3","","","",""
"1051","46947","5B","5B PALI Karhula-Sunila-Tiutinen-Suulisniemi","","3","","","",""
"1061","46947","6B","6B PALI Karhula-Suulisniemi-Sunila","","3","","","",""
"1089","46947","89Pa","P089 Kotka-Huutjärvi-Kiviniemi-Siltakylä","","3","","","",""
"1091","46947","9B","9B PALI Karhula-Tavastila-Ylänummi","","3","","","",""
"11","6852","11","11 Norskankatu-Karhuvuori-Mussalo","","3","","","","0"
"110","57404","110","Kotka-Hamina-Vaalimaa nopea","","3","","","","0"
"12","6852","12","12 Norskankatu-Karhuvuori-Mussalo","","3","","","","0"
"13","6852","13","13 Norskankatu-Karhuvuori-Mussalo-Norskankatu","","3","","","","0"
"14","6852","14","14 Norskankatu-Karhuvuori-Mussalo-Norskankatu","","3","","","","0"
"15","6852","15","15 Norskankatu-Karhuvuori-Norskankatu","","3","","","","0"
"1503","6903","1503","Helsinki-Porvoo-Loviisa-Kotka","","3","","","","0"
"1505","6903","1505","Kotka-Loviisa-Porvoo-Helsinki","","3","","","","0"
"16","6773","1Vu","1V Kotka-Hamina","","3","","","",""
"18","6852","18","18 Norskankatu-Parikka","","3","","","","0"
"19","6852","19","19 Mussalo-Parikka-Laajakoski","","3","","","","0"
"2","6852","2","2 Norskankatu-Jäppilä","","3","","","","0"
"20","6852","20","20 Mussalo-Karhuvuori-Karhula","","3","","","","0"
"2006","46947","6","6 PALI Karhula-Suulisniemi-Norskankatu","","3","","","","0"
"2007","46947","7Pa","P007 Karhula-Peippola","","3","","","",""
"2012","46947","12Pa","P012 Karhula-Huruksela","","3","","","",""
