"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","bikes_allowed","trip_short_name","wheelchair_accessible"
"2","Koulup. Kotka","1088983a-667d-4f7c-be24-e3027825f7c8","","1","","90","0","","0"
"51","Koulup. Kotka","96a068f3-8e41-4c6d-b2c1-0b13dee3e675","","0","317","117","0","","0"
"51","Koulup. Kotka","50a61968-5c1c-4fd5-b3fa-369393c181c2","","0","318","117","0","","0"
"51","Koulup. Kotka","5c497a4d-6aa3-498e-999a-97c3f1ee8a0d","","1","317","60","0","","0"
"51","Koulup. Kotka","055545d5-e456-4924-9c2d-f1b0247a0361","","1","318","60","0","","0"
"12","Koulup. Kotka","5fc4e5c4-6cc6-41c6-bce8-220f71a63449","","1","","20","0","","0"
"13","Koulup. Kotka","3d37df12-95db-4490-8972-fecfa518941d","","0","","128","0","","0"
"13","Koulup. Kotka","bca75d7d-c904-4795-9742-48047e0a4b74","","0","","199","0","","0"
"13","Koulup. Kotka","14983f81-1fdd-49ce-b3c7-5da30c993297","","0","","199","0","","0"
"13","Koulup. Kotka","860bb355-6a37-46ce-b741-cdd64265a545","","0","","224","0","","0"
"8","Koulup. Kotka","d8782f72-e3b5-449a-9e73-daad7e743bda","","0","","91","0","","0"
"8","Koulup. Kotka","0c6d30e4-4a06-4223-805e-c572acb48d7f","","0","","91","0","","0"
"8","Koulup. Kotka","5e607e9d-e967-4dd4-929b-2d3ceb370c8e","","0","","91","0","","0"
"8","Koulup. Kotka","f335cb6d-2272-4da8-8e04-b5de32385fcd","","0","","91","0","","0"
"8","Koulup. Kotka","e1c39de5-48c4-4eb3-b02a-66c7de23f4d3","","0","","91","0","","0"
"8","Koulup. Kotka","9b1212e1-4974-4a40-a581-04f0742decea","","0","","91","0","","0"
"8","Koulup. Kotka","792b00eb-e66f-49bc-9a90-280333e1e984","","0","","91","0","","0"
"8","Koulup. Kotka","ec066512-da4d-40eb-a833-8ac592eb4ed4","","0","","91","0","","0"
"8","Koulup. Kotka","6825d811-e6b2-45e4-89a0-689bbfd2d063","","0","","91","0","","0"
"8","Koulup. Kotka","9bb75ca9-5e93-411f-9210-0fe8480ff3ee","","0","","91","0","","0"
"8","Koulup. Kotka","d8f15752-8c5b-41ac-af2e-265739fa1d1d","","0","","91","0","","0"
"8","Koulup. Kotka","b065c0c2-032f-439d-84b4-f2a802d01eed","","0","","91","0","","0"
"8","Koulup. Kotka","398bd9be-9de0-4fbc-a375-2b2b21733fe4","","0","","91","0","","0"
"8","Koulup. Kotka","7632e7a6-965c-4bbb-8065-c144c63290a9","","0","","91","0","","0"
"8","Koulup. Kotka","a2da2f44-87d4-402b-af37-378b5afbedde","","1","","131","0","","0"
"8","Koulup. Kotka","277baef0-974c-4e61-a81b-196820a14a61","","1","","131","0","","0"
"8","Koulup. Kotka","f1f16273-f4ad-4b18-9c2e-13ec9a6102b4","","1","","131","0","","0"
"8","Koulup. Kotka","41a25d2a-57dc-464f-bd93-c8c60e999e3a","","0","","131","0","","0"
"8","Koulup. Kotka","9ebdb970-fe51-4c6d-92be-928bf4afb29c","","1","","131","0","","0"
"8","Koulup. Kotka","4cda2ad4-809c-4e96-bd66-49aeb9b75456","","1","","131","0","","0"
"8","Koulup. Kotka","8e384d82-8e85-456b-acea-ca4dac501360","","1","","131","0","","0"
"8","Koulup. Kotka","fb505f61-4a02-4414-b31b-8694aef75cd1","","1","","131","0","","0"
"8","Koulup. Kotka","92dbf77f-b024-4ece-9ed6-79280cc309bc","","1","","131","0","","0"
"8","Koulup. Kotka","ab839634-490a-4675-9aa6-d1972ab9f4cb","","1","","131","0","","0"
"8","Koulup. Kotka","cd312612-99a0-4231-beae-344a28a07abf","","1","","131","0","","0"
"8","Koulup. Kotka","a258ddf2-92bb-46ba-a017-10f20931e9bc","","1","","131","0","","0"
"8","Koulup. Kotka","aa21f882-b5bf-4443-97e1-b683f91cee91","","1","","131","0","","0"
"8","Koulup. Kotka","b964b918-5783-4908-b588-717be6925fae","","1","","131","0","","0"
"6","Koulup. Kotka","357bcb58-3ecf-47d9-9b33-15cbffcf21df","","0","120","14","0","","0"
"6","Koulup. Kotka","df5de7e3-de26-456d-8a08-c3e505cb7852","","0","121","14","0","","0"
